name,year,BR
Jacoby Ellsbury,2014,15
Brett Gardner,2014,11
Martin Prado,2014,7
Francisco Cervelli,2014,6
Chase Headley,2014,6
Chris Young,2014,5
Yangervis Solarte,2014,3
Antoan Richardson,2014,1
Mark Teixeira,2014,1
Jose Pirela,2014,1
Carlos Beltran,2014,0
Scott Sizemore,2014,0
J. R. Murphy,2014,-1
Austin Romine,2014,-1
Chase Whitley,2014,-1
Hiroki Kuroda,2014,-1
Eury Perez,2014,-1
David Phelps,2014,-1
CC Sabathia,2014,-1
Kelly Johnson,2014,-2
Masahiro Tanaka,2014,-2
Dean Anna,2014,-2
Ichiro Suzuki,2014,-3
Zelous Wheeler,2014,-4
Brian McCann,2014,-5
Zoilo Almonte,2014,-5
Brian Roberts,2014,-6
Alfonso Soriano,2014,-8
Stephen Drew,2014,-11
Brendan Ryan,2014,-13
Derek Jeter,2014,-17
Robinson Cano,2013,45
Brett Gardner,2013,14
Alfonso Soriano,2013,10
Alex Rodriguez,2013,5
Francisco Cervelli,2013,4
Curtis Granderson,2013,3
Brennan Boesch,2013,2
Melky Mesa,2013,1
Mark Reynolds,2013,1
Corban Joseph,2013,0
Ivan Nova,2013,-1
Andy Pettitte,2013,-1
David Phelps,2013,-1
Travis Ishikawa,2013,-1
CC Sabathia,2013,-1
Thomas Neal,2013,-1
Phil Hughes,2013,-1
Mark Teixeira,2013,-2
Chris Nelson,2013,-2
Hiroki Kuroda,2013,-2
Eduardo Nunez,2013,-2
Travis Hafner,2013,-2
Kevin Youkilis,2013,-2
Derek Jeter,2013,-3
Lyle Overbay,2013,-3
Brendan Ryan,2013,-3
J. R. Murphy,2013,-3
Brent Lillibridge,2013,-4
Alberto Gonzalez,2013,-4
Jayson Nix,2013,-5
Zoilo Almonte,2013,-5
Ben Francisco,2013,-5
Luis Cruz,2013,-6
Reid Brignac,2013,-7
Austin Romine,2013,-7
David Adams,2013,-9
Ichiro Suzuki,2013,-11
Vernon Wells,2013,-12
Chris Stewart,2013,-13
Robinson Cano,2012,51
Nick Swisher,2012,28
Derek Jeter,2012,22
Curtis Granderson,2012,22
Mark Teixeira,2012,18
Alex Rodriguez,2012,17
Eric Chavez,2012,14
Ichiro Suzuki,2012,8
Raul Ibanez,2012,7
Chris Dickerson,2012,3
Eduardo Nunez,2012,3
Russell Martin,2012,2
Dewayne Wise,2012,2
Brett Gardner,2012,1
Francisco Cervelli,2012,0
Freddy Garcia,2012,0
Ramiro Pena,2012,0
Melky Mesa,2012,0
Andy Pettitte,2012,0
Andruw Jones,2012,-1
Steve Pearce,2012,-1
CC Sabathia,2012,-1
Phil Hughes,2012,-1
Darnell McDonald,2012,-1
Jayson Nix,2012,-1
Hiroki Kuroda,2012,-1
Ivan Nova,2012,-1
Chris Stewart,2012,-4
Casey McGehee,2012,-4
Curtis Granderson,2011,47
Robinson Cano,2011,39
Mark Teixeira,2011,29
Nick Swisher,2011,28
Alex Rodriguez,2011,18
Derek Jeter,2011,11
Andruw Jones,2011,10
Brett Gardner,2011,10
Jesus Montero,2011,7
Russell Martin,2011,6
Eduardo Nunez,2011,2
Francisco Cervelli,2011,1
Jorge Posada,2011,0
Bartolo Colon,2011,0
Brian Gordon,2011,0
Gustavo Molina,2011,0
Chris Dickerson,2011,0
Ivan Nova,2011,-1
Greg Golson,2011,-1
Freddy Garcia,2011,-1
CC Sabathia,2011,-1
A. J. Burnett,2011,-1
Brandon Laird,2011,-2
Austin Romine,2011,-2
Eric Chavez,2011,-2
Ramiro Pena,2011,-6
Robinson Cano,2010,48
Mark Teixeira,2010,34
Nick Swisher,2010,33
Alex Rodriguez,2010,27
Brett Gardner,2010,22
Jorge Posada,2010,17
Curtis Granderson,2010,15
Marcus Thames,2010,10
Derek Jeter,2010,5
Nick Johnson,2010,2
Lance Berkman,2010,1
Eduardo Nunez,2010,1
Francisco Cervelli,2010,1
Juan Miranda,2010,0
Phil Hughes,2010,0
Javier Vazquez,2010,0
Chad Moeller,2010,0
Andy Pettitte,2010,0
A. J. Burnett,2010,0
Mariano Rivera,2010,0
CC Sabathia,2010,-1
Austin Kearns,2010,-1
Randy Winn,2010,-2
Greg Golson,2010,-2
Chad Huffman,2010,-2
Kevin Russo,2010,-4
Colin Curtis,2010,-4
Ramiro Pena,2010,-10
Mark Teixeira,2009,56
Derek Jeter,2009,46
Alex Rodriguez,2009,43
Nick Swisher,2009,34
Robinson Cano,2009,34
Johnny Damon,2009,34
Hideki Matsui,2009,29
Jorge Posada,2009,26
Melky Cabrera,2009,10
Brett Gardner,2009,6
Eric Hinske,2009,4
Juan Miranda,2009,1
Jerry Hairston,2009,1
Brett Tomko,2009,0
Freddy Guzman,2009,0
Xavier Nady,2009,0
Andy Pettitte,2009,0
CC Sabathia,2009,0
Ramiro Pena,2009,0
Mariano Rivera,2009,0
Phil Coke,2009,0
Chien-Ming Wang,2009,-1
A. J. Burnett,2009,-1
Kevin Cash,2009,-1
Joba Chamberlain,2009,-1
Alfredo Aceves,2009,-1
Francisco Cervelli,2009,-2
Shelley Duncan,2009,-2
Angel Berroa,2009,-3
Cody Ransom,2009,-3
Jose Molina,2009,-7
Alex Rodriguez,2008,53
Bobby Abreu,2008,33
Jason Giambi,2008,33
Johnny Damon,2008,31
Derek Jeter,2008,16
Hideki Matsui,2008,12
Jorge Posada,2008,6
Xavier Nady,2008,6
Cody Ransom,2008,5
Juan Miranda,2008,2
Richie Sexson,2008,1
Darrell Rasner,2008,0
Wilson Betemit,2008,0
Joba Chamberlain,2008,0
Ross Ohlendorf,2008,0
Justin Christian,2008,0
Francisco Cervelli,2008,-1
Andy Pettitte,2008,-1
Mike Mussina,2008,-1
Robinson Cano,2008,-1
Sidney Ponson,2008,-1
Chris Stewart,2008,-1
Chien-Ming Wang,2008,-1
Chad Moeller,2008,-2
Brett Gardner,2008,-3
Shelley Duncan,2008,-3
Ivan Rodriguez,2008,-4
Alberto Gonzalez,2008,-5
Morgan Ensberg,2008,-6
Melky Cabrera,2008,-9
Jose Molina,2008,-13
Alex Rodriguez,2007,85
Jorge Posada,2007,54
Derek Jeter,2007,35
Hideki Matsui,2007,32
Bobby Abreu,2007,31
Robinson Cano,2007,28
Johnny Damon,2007,15
Jason Giambi,2007,10
Doug Mientkiewicz,2007,6
Shelley Duncan,2007,4
Melky Cabrera,2007,4
Jose Molina,2007,2
Tyler Clippard,2007,1
Mike Mussina,2007,0
Andy Phillips,2007,0
Sean Henn,2007,0
Roger Clemens,2007,0
Chris Basak,2007,0
Bronson Sardinha,2007,0
Mike Myers,2007,0
Josh Phelps,2007,0
Miguel Cairo,2007,-1
Scott Proctor,2007,-1
Kevin Thompson,2007,-1
Chien-Ming Wang,2007,-1
Luis Vizcaino,2007,-1
Andy Pettitte,2007,-1
Wilson Betemit,2007,-1
Alberto Gonzalez,2007,-3
Wil Nieves,2007,-6
Derek Jeter,2006,55
Jason Giambi,2006,52
Alex Rodriguez,2006,49
Johnny Damon,2006,32
Jorge Posada,2006,31
Robinson Cano,2006,31
Bobby Abreu,2006,21
Hideki Matsui,2006,13
Melky Cabrera,2006,11
Bernie Williams,2006,10
Gary Sheffield,2006,6
Kevin Thompson,2006,3
Aaron Guiel,2006,2
Andy Cannizaro,2006,1
Kevin Reese,2006,1
Jaret Wright,2006,0
Mariano Rivera,2006,0
T. J. Beam,2006,0
Aaron Small,2006,0
Shawn Chacon,2006,0
Nick Green,2006,-1
Randy Johnson,2006,-1
Chien-Ming Wang,2006,-1
Mike Mussina,2006,-1
Wil Nieves,2006,-2
Terrence Long,2006,-3
Kelly Stinnett,2006,-3
Sal Fasano,2006,-4
Andy Phillips,2006,-4
Craig Wilson,2006,-4
Bubba Crosby,2006,-5
Miguel Cairo,2006,-6
Alex Rodriguez,2005,77
Jason Giambi,2005,50
Gary Sheffield,2005,43
Hideki Matsui,2005,37
Derek Jeter,2005,36
Jorge Posada,2005,16
Robinson Cano,2005,10
Tino Martinez,2005,7
Kevin Brown,2005,1
Kevin Reese,2005,0
Russ Johnson,2005,0
Felix Escalona,2005,0
Chien-Ming Wang,2005,0
Mike Mussina,2005,-1
Mike Vento,2005,-1
Wil Nieves,2005,-1
Mark Bellhorn,2005,-1
Melky Cabrera,2005,-2
Rey Sanchez,2005,-2
Randy Johnson,2005,-2
Carl Pavano,2005,-2
Bernie Williams,2005,-2
Matt Lawton,2005,-3
Andy Phillips,2005,-3
Bubba Crosby,2005,-3
Ruben Sierra,2005,-5
John Flaherty,2005,-12
Tony Womack,2005,-14
Gary Sheffield,2004,50
Hideki Matsui,2004,48
Alex Rodriguez,2004,46
Jorge Posada,2004,34
Derek Jeter,2004,31
Bernie Williams,2004,20
Miguel Cairo,2004,9
Kenny Lofton,2004,5
John Olerud,2004,5
Tony Clark,2004,4
Ruben Sierra,2004,4
Jason Giambi,2004,4
Brad Halsey,2004,0
Jon Lieber,2004,0
Javier Vazquez,2004,0
Mike Mussina,2004,0
John Flaherty,2004,0
Andy Phillips,2004,0
Paul Quantrill,2004,0
Dioner Navarro,2004,0
Tom Gordon,2004,0
Tanyon Sturtze,2004,-1
Homer Bush,2004,-1
Jose Contreras,2004,-2
Felix Escalona,2004,-2
Travis Lee,2004,-3
Bubba Crosby,2004,-4
Enrique Wilson,2004,-12
Jason Giambi,2003,55
Jorge Posada,2003,43
Alfonso Soriano,2003,39
Nick Johnson,2003,29
Derek Jeter,2003,27
Hideki Matsui,2003,20
Bernie Williams,2003,16
Raul Mondesi,2003,13
Robin Ventura,2003,4
Karim Garcia,2003,4
Juan Rivera,2003,3
Ruben Sierra,2003,3
Aaron Boone,2003,3
Chris Latham,2003,1
John Flaherty,2003,1
Brandon Claussen,2003,0
Roger Clemens,2003,0
David Wells,2003,0
Michel Hernandez,2003,0
Fernando Seguignol,2003,-1
Andy Pettitte,2003,-1
Drew Henson,2003,-1
Jose Contreras,2003,-1
Luis Sojo,2003,-1
Curtis Pride,2003,-1
Mike Mussina,2003,-1
Charles Gipson,2003,-1
Erick Almonte,2003,-1
Bubba Trammell,2003,-2
David Dellucci,2003,-3
Enrique Wilson,2003,-3
Todd Zeile,2003,-4
Jason Giambi,2002,74
Bernie Williams,2002,50
Alfonso Soriano,2002,44
Derek Jeter,2002,30
Jorge Posada,2002,29
Robin Ventura,2002,25
Nick Johnson,2002,7
John Vander Wal,2002,4
Raul Mondesi,2002,4
Roger Clemens,2002,1
Mike Mussina,2002,1
Andy Pettitte,2002,0
Ramiro Mendoza,2002,0
Drew Henson,2002,0
Steve Karsay,2002,0
Marcus Thames,2002,0
Chris Widger,2002,0
Randy Choate,2002,0
Alex Arias,2002,-1
Mike Stanton,2002,-1
Shane Spencer,2002,-1
Karim Garcia,2002,-1
David Wells,2002,-1
Juan Rivera,2002,-1
Ted Lilly,2002,-1
Ron Coomer,2002,-3
Gerald Williams,2002,-3
Alberto Castillo,2002,-5
Enrique Wilson,2002,-7
Rondell White,2002,-8
Bernie Williams,2001,47
Derek Jeter,2001,40
Jorge Posada,2001,24
Tino Martinez,2001,22
Paul O'Neill,2001,19
Scott Brosius,2001,14
Alfonso Soriano,2001,9
David Justice,2001,8
Chuck Knoblauch,2001,5
Shane Spencer,2001,4
Erick Almonte,2001,1
Darren Bragg,2001,0
Ted Lilly,2001,0
Scott Seabol,2001,0
Donzell McDonald,2001,0
Bobby Estalella,2001,0
Randy Keisler,2001,-1
Andy Pettitte,2001,-1
Ramiro Mendoza,2001,-1
Joe Oliver,2001,-1
Roger Clemens,2001,-1
Randy Choate,2001,-1
Mike Mussina,2001,-1
Juan Rivera,2001,-1
Robert Perez,2001,-1
Nick Johnson,2001,-2
Henry Rodriguez,2001,-2
Randy Velarde,2001,-3
Michael Coleman,2001,-4
Enrique Wilson,2001,-4
Gerald Williams,2001,-4
Clay Bellinger,2001,-5
Todd Greene,2001,-7
Luis Sojo,2001,-9
Bernie Williams,2000,51
Jorge Posada,2000,51
Derek Jeter,2000,49
David Justice,2000,28
Glenallen Hill,2000,18
Paul O'Neill,2000,12
Chuck Knoblauch,2000,10
Tino Martinez,2000,10
Shane Spencer,2000,7
Jose Canseco,2000,5
Ricky Ledee,2000,4
Ryan Thompson,2000,2
Luis Polonia,2000,1
Luis Sojo,2000,1
Todd Erdos,2000,0
Mike Stanton,2000,0
David Cone,2000,0
Lance Johnson,2000,0
Jeff Nelson,2000,0
Jason Grimsley,2000,0
Roger Clemens,2000,-1
Dwight Gooden,2000,-1
Felix Jose,2000,-1
Wilson Delgado,2000,-1
Andy Pettitte,2000,-1
Roberto Kelly,2000,-2
Clay Bellinger,2000,-2
Jim Leyritz,2000,-2
Orlando Hernandez,2000,-2
Chris Turner,2000,-3
Alfonso Soriano,2000,-3
Jose Vizcaino,2000,-4
Scott Brosius,2000,-7
Derek Jeter,1999,72
Bernie Williams,1999,61
Chuck Knoblauch,1999,40
Paul O'Neill,1999,24
Chili Davis,1999,22
Tino Martinez,1999,19
Ricky Ledee,1999,10
Darryl Strawberry,1999,10
Chad Curtis,1999,9
Jorge Posada,1999,7
Scott Brosius,1999,4
D'Angelo Jimenez,1999,2
David Cone,1999,0
Andy Pettitte,1999,0
Jim Leyritz,1999,0
Orlando Hernandez,1999,0
Mike Stanton,1999,0
Jeff Manto,1999,-1
Hideki Irabu,1999,-1
Alfonso Soriano,1999,-1
Roger Clemens,1999,-1
Tony Tarasco,1999,-2
Clay Bellinger,1999,-3
Shane Spencer,1999,-3
Luis Sojo,1999,-4
Joe Girardi,1999,-6
Bernie Williams,1998,56
Paul O'Neill,1998,43
Derek Jeter,1998,40
Tino Martinez,1998,31
Scott Brosius,1998,28
Chuck Knoblauch,1998,20
Darryl Strawberry,1998,19
Jorge Posada,1998,16
Tim Raines,1998,14
Shane Spencer,1998,14
Chad Curtis,1998,9
Chili Davis,1998,5
Homer Bush,1998,5
Jeff Nelson,1998,0
David Wells,1998,0
Ricky Ledee,1998,0
Mike Stanton,1998,0
Mike Figga,1998,0
Hideki Irabu,1998,0
Andy Pettitte,1998,-1
Mike Lowell,1998,-1
David Cone,1998,-1
Orlando Hernandez,1998,-2
Joe Girardi,1998,-2
Dale Sveum,1998,-7
Luis Sojo,1998,-10
Tino Martinez,1997,53
Bernie Williams,1997,50
Paul O'Neill,1997,46
Derek Jeter,1997,21
Chad Curtis,1997,18
Tim Raines,1997,18
Cecil Fielder,1997,11
Wade Boggs,1997,11
Jorge Posada,1997,6
Mike Stanley,1997,6
Mark Whiten,1997,5
Charlie Hayes,1997,4
Luis Sojo,1997,2
Rey Sanchez,1997,1
Pat Kelly,1997,1
Andy Fox,1997,0
Homer Bush,1997,0
Hideki Irabu,1997,0
Pete Incaviglia,1997,-1
Mike Figga,1997,-1
Kenny Rogers,1997,-1
Ivan Cruz,1997,-1
David Cone,1997,-1
Dwight Gooden,1997,-1
Scott Pose,1997,-4
Darryl Strawberry,1997,-4
Mariano Duncan,1997,-8
Joe Girardi,1997,-9
Bernie Williams,1996,48
Paul O'Neill,1996,44
Tino Martinez,1996,28
Derek Jeter,1996,22
Mariano Duncan,1996,20
Wade Boggs,1996,18
Tim Raines,1996,15
Darryl Strawberry,1996,11
Cecil Fielder,1996,9
Jim Leyritz,1996,5
Joe Girardi,1996,5
Ruben Rivera,1996,5
Gerald Williams,1996,3
Ruben Sierra,1996,3
Mike Aldrete,1996,2
Charlie Hayes,1996,0
Dion James,1996,-1
Luis Sojo,1996,-1
Tim McIntosh,1996,-1
Robert Eenhoorn,1996,-2
Jorge Posada,1996,-3
Pat Kelly,1996,-3
Matt Howard,1996,-4
Andy Fox,1996,-10
Bernie Williams,1995,38
Paul O'Neill,1995,38
Wade Boggs,1995,27
Mike Stanley,1995,22
Randy Velarde,1995,13
Don Mattingly,1995,9
Jim Leyritz,1995,8
Gerald Williams,1995,7
Ruben Sierra,1995,4
Darryl Strawberry,1995,4
Russ Davis,1995,3
Danny Tartabull,1995,3
Dion James,1995,1
Ruben Rivera,1995,0
Dave Silvestri,1995,-1
Derek Jeter,1995,-1
Robert Eenhoorn,1995,-1
Luis Polonia,1995,-1
Kevin Elster,1995,-2
Tony Fernandez,1995,-4
Pat Kelly,1995,-5
Paul O'Neill,1994,53
Wade Boggs,1994,34
Mike Stanley,1994,25
Bernie Williams,1994,24
Danny Tartabull,1994,19
Don Mattingly,1994,18
Jim Leyritz,1994,17
Luis Polonia,1994,14
Randy Velarde,1994,7
Matt Nokes,1994,5
Pat Kelly,1994,3
Gerald Williams,1994,3
Robert Eenhoorn,1994,1
Bob Melvin,1994,0
Dave Silvestri,1994,-1
Mike Gallego,1994,-1
Russ Davis,1994,-2
Daryl Boston,1994,-3
Kevin Elster,1994,-5