data_name,x,y,string_about_this_point,
data1,0.99,0.0109441537601869,0.99_9.43153760186925E-4,
data1,0.98,0.0114370524462643,0.98_0.0014360524462642466,
data1,0.97,0.0118957594074305,0.97_0.0018947594074305149,
data1,0.96,0.0120428990775534,0.96_0.0020418990775533633,
data1,0.9500000000000001,0.0121708299134565,0.9500000000000001_0.002169829913456518,
data1,0.9400000000000001,0.0122768626783492,0.9400000000000001_0.0022758626783492236,
data1,0.93,0.0124409061225854,0.93_0.0024399061225854014,
data1,0.92,0.0125261933465208,0.92_0.0025251933465208383,
data1,0.91,0.0126502824155801,0.91_0.002649282415580055,
data1,0.9,0.0127225076322461,0.9_0.0027215076322461007,
data1,0.89,0.0127901227286994,0.89_0.0027891227286994196,
data1,0.88,0.0129318839252408,0.88_0.002930883925240754,
data1,0.87,0.0129998831983785,0.87_0.0029988831983784672,
data1,0.86,0.0130767185352572,0.86_0.003075718535257239,
data1,0.85,0.0131562431089268,0.85_0.003155243108926768,
data1,0.84,0.013215022141639,0.84_0.003214022141639028,
data1,0.8300000000000001,0.0132945467153086,0.8300000000000001_0.0032935467153085572,
data1,0.8200000000000001,0.0134708838134453,0.8200000000000001_0.003469883813445339,
data1,0.81,0.0136283962540468,0.81_0.003627396254046821,
data1,0.8,0.0137010056473973,0.8_0.0037000056473972605,
data1,0.79,0.0137839878112263,0.79_0.003782987811226334,
data1,0.78,0.0138950148730162,0.78_0.0038940148730161597,
data1,0.77,0.014040233659717,0.77_0.0040392336597170385,
data1,0.76,0.0141186057033334,0.76_0.004117605703333386,
data1,0.75,0.0143748515518241,0.75_0.00437385155182409,
data1,0.74,0.0144851102602451,0.74_0.004484110260245128,
data1,0.73,0.0145896063184003,0.73_0.004588606318400258,
data1,0.72,0.014679119485864,0.72_0.004678119485864027,
data1,0.71,0.0147728585968561,0.71_0.004771858596856128,
data1,0.7000000000000001,0.0148827331285928,0.7000000000000001_0.004881733128592772,
data1,0.6900000000000001,0.0151074764889632,0.6900000000000001_0.00510647648896318,
data1,0.68,0.0152365598549195,0.68_0.005235559854919517,
data1,0.67,0.015508172770786,0.67_0.005507172770785975,
data1,0.66,0.0156295726030544,0.66_0.0056285726030544355,
data1,0.65,0.0157855483369183,0.65_0.005784548336918342,
data1,0.64,0.015996845513335,0.64_0.0059958455133349645,
data1,0.63,0.0161224712891318,0.63_0.006121471289131757,
data1,0.62,0.0162665375457795,0.62_0.0062655375457794545,
data1,0.61,0.0165984662010958,0.61_0.006597466201095748,
data1,0.6,0.0168009273137713,0.6_0.006799927313771313,
data1,0.59,0.0169373100367311,0.59_0.006936310036731133,
data1,0.58,0.0170656250493187,0.58_0.007064625049318682,
data1,0.5700000000000001,0.0172004710655409,0.5700000000000001_0.007199471065540927,
data1,0.56,0.0173752714569401,0.56_0.007374271456940132,
data1,0.55,0.0176203761815834,0.55_0.007619376181583415,
data1,0.54,0.0177659791449687,0.54_0.007764979144968688,
data1,0.53,0.0179553782503749,0.53_0.007954378250374861,
data1,0.52,0.0185304907469125,0.52_0.008529490746912468,
data1,0.51,0.0186799354771417,0.51_0.008678935477141679,
data1,0.5,0.0188021036627789,0.5_0.008801103662778927,
data1,0.49,0.0189626895168556,0.49_0.00896168951685556,
data1,0.48,0.0191908904673855,0.48_0.009189890467385513,
data1,0.47000000000000003,0.01935915985515,0.47000000000000003_0.009358159855150023,
data1,0.46,0.0195062995252729,0.46_0.00950529952527287,
data1,0.45,0.0197099131680016,0.45_0.009708913168001617,
data1,0.44,0.0209323633777429,0.44_0.010931363377742878,
data1,0.43,0.0222189710937779,0.43_0.012217971093777914,
data1,0.42,0.0231375375461636,0.42_0.01313653754616363,
data1,0.41000000000000003,0.0235985495674363,0.41000000000000003_0.013597549567436262,
data1,0.4,0.0257749104845275,0.4_0.015773910484527476,
data1,0.39,0.0259585469396677,0.39_0.015957546939667742,
data1,0.38,0.0262282389721122,0.38_0.01622723897211223,
data1,0.37,0.0267468774960439,0.37_0.01674587749604394,
data1,0.36,0.027470666369442,0.36_0.017469666369441972,
data1,0.35000000000000003,0.0280404003923981,0.35000000000000003_0.018039400392398066,
data1,0.34,0.0295144863304173,0.34_0.019513486330417305,
data1,0.33,0.0298798383572759,0.33_0.019878838357275865,
data1,0.32,0.0302282866100211,0.32_0.020227286610021097,
data1,0.31,0.0306501126094856,0.31_0.020649112609485553,
data1,0.3,0.0313166591569089,0.3_0.0213156591569089,
data1,0.29,0.032364308975251,0.29_0.022363308975250955,
data1,0.28,0.0331468768813612,0.28_0.023145876881361247,
data1,0.27,0.0355829412371027,0.27_0.02558194123710271,
data1,0.26,0.0376878452908967,0.26_0.027686845290896666,
data1,0.25,0.0385772143152685,0.25_0.02857621431526845,
data1,0.24,0.0396920950533794,0.24_0.02969109505337943,
data1,0.23,0.0408039023780153,0.23_0.030802902378015258,
data1,0.22,0.041396687002035,0.22_0.03139568700203498,
data1,0.21,0.0416744467448517,0.21_0.031673446744851744,
data1,0.2,0.0418742186207366,0.2_0.031873218620736554,
data1,0.19,0.042044408891923,0.19_0.03204340889192303,
data1,0.18,0.0422295820538009,0.18_0.03222858205380087,
data1,0.17,0.042424743809473,0.17_0.03242374380947295,
data1,0.16,0.0426629333537971,0.16_0.03266193335379714,
data1,0.15,0.0427935534264911,0.15_0.03279255342649106,
data1,0.14,0.0429691221712591,0.14_0.03296812217125905,
data1,0.13,0.0431727358139878,0.13_0.033171735813987795,
data1,0.12,0.0433041242400505,0.12_0.0333031242400505,
data1,0.11,0.0434800771615029,0.11_0.03347907716150288,
data1,0.1,0.0437516900773693,0.1_0.03375069007736934,
data1,0.09,0.0440544213046717,0.09_0.034053421304671705,
data1,0.08,0.0442207698090142,0.08_0.03421976980901424,
data1,0.07,0.0443871183133568,0.07_0.034386118313356785,
data1,0.06,0.0446026414333017,0.06_0.034601641433301744,
data1,0.05,0.0449656884000539,0.05_0.034964688400053935,
data1,0.04,0.0456184045868391,0.04_0.0356174045868391,
data1,0.03,0.04643862180802,0.03_0.036437621808019995,
data1,0.02,0.0479745601922266,0.02_0.03797356019222665,
data1,0.01,0.0540806644139827,0.01_0.04407966441398265,
data1,0,1.01,0.0_1.0,
data2,0.99,9.43153760186925E-4,0.99_9.43153760186925E-4,
data2,0.98,0.0014360524462642466,0.98_0.0014360524462642466,
data2,0.97,0.0018947594074305149,0.97_0.0018947594074305149,
data2,0.96,0.0020418990775533633,0.96_0.0020418990775533633,
data2,0.9500000000000001,0.002169829913456518,0.9500000000000001_0.002169829913456518,
data2,0.9400000000000001,0.0022758626783492236,0.9400000000000001_0.0022758626783492236,
data2,0.93,0.0024399061225854014,0.93_0.0024399061225854014,
data2,0.92,0.0025251933465208383,0.92_0.0025251933465208383,
data2,0.91,0.002649282415580055,0.91_0.002649282415580055,
data2,0.9,0.0027215076322461007,0.9_0.0027215076322461007,
data2,0.89,0.0027891227286994196,0.89_0.0027891227286994196,
data2,0.88,0.002930883925240754,0.88_0.002930883925240754,
data2,0.87,0.0029988831983784672,0.87_0.0029988831983784672,
data2,0.86,0.003075718535257239,0.86_0.003075718535257239,
data2,0.85,0.003155243108926768,0.85_0.003155243108926768,
data2,0.84,0.003214022141639028,0.84_0.003214022141639028,
data2,0.8300000000000001,0.0032935467153085572,0.8300000000000001_0.0032935467153085572,
data2,0.8200000000000001,0.003469883813445339,0.8200000000000001_0.003469883813445339,
data2,0.81,0.003627396254046821,0.81_0.003627396254046821,
data2,0.8,0.0037000056473972605,0.8_0.0037000056473972605,
data2,0.79,0.003782987811226334,0.79_0.003782987811226334,
data2,0.78,0.0038940148730161597,0.78_0.0038940148730161597,
data2,0.77,0.0040392336597170385,0.77_0.0040392336597170385,
data2,0.76,0.004117605703333386,0.76_0.004117605703333386,
data2,0.75,0.00437385155182409,0.75_0.00437385155182409,
data2,0.74,0.004484110260245128,0.74_0.004484110260245128,
data2,0.73,0.004588606318400258,0.73_0.004588606318400258,
data2,0.72,0.004678119485864027,0.72_0.004678119485864027,
data2,0.71,0.004771858596856128,0.71_0.004771858596856128,
data2,0.7000000000000001,0.004881733128592772,0.7000000000000001_0.004881733128592772,
data2,0.6900000000000001,0.00510647648896318,0.6900000000000001_0.00510647648896318,
data2,0.68,0.005235559854919517,0.68_0.005235559854919517,
data2,0.67,0.005507172770785975,0.67_0.005507172770785975,
data2,0.66,0.0056285726030544355,0.66_0.0056285726030544355,
data2,0.65,0.005784548336918342,0.65_0.005784548336918342,
data2,0.64,0.0059958455133349645,0.64_0.0059958455133349645,
data2,0.63,0.006121471289131757,0.63_0.006121471289131757,
data2,0.62,0.0062655375457794545,0.62_0.0062655375457794545,
data2,0.61,0.006597466201095748,0.61_0.006597466201095748,
data2,0.6,0.006799927313771313,0.6_0.006799927313771313,
data2,0.59,0.006936310036731133,0.59_0.006936310036731133,
data2,0.58,0.007064625049318682,0.58_0.007064625049318682,
data2,0.5700000000000001,0.007199471065540927,0.5700000000000001_0.007199471065540927,
data2,0.56,0.007374271456940132,0.56_0.007374271456940132,
data2,0.55,0.007619376181583415,0.55_0.007619376181583415,
data2,0.54,0.007764979144968688,0.54_0.007764979144968688,
data2,0.53,0.007954378250374861,0.53_0.007954378250374861,
data2,0.52,0.008529490746912468,0.52_0.008529490746912468,
data2,0.51,0.008678935477141679,0.51_0.008678935477141679,
data2,0.5,0.008801103662778927,0.5_0.008801103662778927,
data2,0.49,0.00896168951685556,0.49_0.00896168951685556,
data2,0.48,0.009189890467385513,0.48_0.009189890467385513,
data2,0.47000000000000003,0.009358159855150023,0.47000000000000003_0.009358159855150023,
data2,0.46,0.00950529952527287,0.46_0.00950529952527287,
data2,0.45,0.009708913168001617,0.45_0.009708913168001617,
data2,0.44,0.010931363377742878,0.44_0.010931363377742878,
data2,0.43,0.012217971093777914,0.43_0.012217971093777914,
data2,0.42,0.01313653754616363,0.42_0.01313653754616363,
data2,0.41000000000000003,0.013597549567436262,0.41000000000000003_0.013597549567436262,
data2,0.4,0.015773910484527476,0.4_0.015773910484527476,
data2,0.39,0.015957546939667742,0.39_0.015957546939667742,
data2,0.38,0.01622723897211223,0.38_0.01622723897211223,
data2,0.37,0.01674587749604394,0.37_0.01674587749604394,
data2,0.36,0.017469666369441972,0.36_0.017469666369441972,
data2,0.35000000000000003,0.018039400392398066,0.35000000000000003_0.018039400392398066,
data2,0.34,0.019513486330417305,0.34_0.019513486330417305,
data2,0.33,0.019878838357275865,0.33_0.019878838357275865,
data2,0.32,0.020227286610021097,0.32_0.020227286610021097,
data2,0.31,0.020649112609485553,0.31_0.020649112609485553,
data2,0.3,0.0213156591569089,0.3_0.0213156591569089,
data2,0.29,0.022363308975250955,0.29_0.022363308975250955,
data2,0.28,0.023145876881361247,0.28_0.023145876881361247,
data2,0.27,0.02558194123710271,0.27_0.02558194123710271,
data2,0.26,0.027686845290896666,0.26_0.027686845290896666,
data2,0.25,0.02857621431526845,0.25_0.02857621431526845,
data2,0.24,0.02969109505337943,0.24_0.02969109505337943,
data2,0.23,0.030802902378015258,0.23_0.030802902378015258,
data2,0.22,0.03139568700203498,0.22_0.03139568700203498,
data2,0.21,0.031673446744851744,0.21_0.031673446744851744,
data2,0.2,0.031873218620736554,0.2_0.031873218620736554,
data2,0.19,0.03204340889192303,0.19_0.03204340889192303,
data2,0.18,0.03222858205380087,0.18_0.03222858205380087,
data2,0.17,0.03242374380947295,0.17_0.03242374380947295,
data2,0.16,0.03266193335379714,0.16_0.03266193335379714,
data2,0.15,0.03279255342649106,0.15_0.03279255342649106,
data2,0.14,0.03296812217125905,0.14_0.03296812217125905,
data2,0.13,0.033171735813987795,0.13_0.033171735813987795,
data2,0.12,0.0333031242400505,0.12_0.0333031242400505,
data2,0.11,0.03347907716150288,0.11_0.03347907716150288,
data2,0.1,0.03375069007736934,0.1_0.03375069007736934,
data2,0.09,0.034053421304671705,0.09_0.034053421304671705,
data2,0.08,0.03421976980901424,0.08_0.03421976980901424,
data2,0.07,0.034386118313356785,0.07_0.034386118313356785,
data2,0.06,0.034601641433301744,0.06_0.034601641433301744,
data2,0.05,0.034964688400053935,0.05_0.034964688400053935,
data2,0.04,0.0356174045868391,0.04_0.0356174045868391,
data2,0.03,0.036437621808019995,0.03_0.036437621808019995,
data2,0.02,0.03797356019222665,0.02_0.03797356019222665,
data2,0.01,0.04407966441398265,0.01_0.04407966441398265,
data2,0,1,0.0_1.0,